0	3	5	0^2	0 1	0 3	0 4	1^2	1 2	1 5	2^2	2 4	3 4	3 5	4^2	5^2	label
-787696.7333128658	60357.601705783374	-247844.1656913996	620466143671.7601	-238732323215.02896	-47543485694.24462	127750419783.11317	91855329624.23111	35303402000.886116	-75115727879.11671	13568403683.648558	-18891553370.939922	-9788930979.294987	-14959279437.903677	26303078614.70578	61426730467.26594	1
-182914.30164868265	-32715.374079377714	173016.7137852082	33457641747.62527	42423251085.24595	5984109802.904789	-21481933471.600327	53791365399.19349	-49235888114.067085	-40127706935.41274	45066204592.33182	24931660017.197254	-3842179004.797197	-5660306513.467713	13792767259.545916	29934783249.032658	0
-398600.4684962232	28294.90845138332	126178.28974520764	158882333485.40863	-30749719559.34358	-11278363764.779137	-14506043982.325281	5951229644.2015295	9740280693.708952	9733924896.72775	15941758874.097082	4594934268.277017	1029720782.8683794	3570203156.892769	1324409752.8091786	15920960803.025572	1
-514115.88318510575	37294.93954160401	122376.3454707854	264315141343.2013	-98995686277.39557	-19173920780.76687	-3405174224.6175027	37077504723.07403	33605611071.946823	23564201574.449665	30458821432.396645	1155938858.8312988	247017785.26848912	4564018405.655388	43868888.63450903	14975969930.785017	1
800583.4228126892	-438463.8130034866	-268091.5603925996	640933816882.4811	-151751676431.31607	-351026860193.8342	231085190291.62354	35929718003.843864	-58121871138.40168	50817119824.60446	94021108216.53444	88507118787.59238	-126560818993.63503	117548447803.79373	83316504396.4393	71873084753.73889	1
-357582.865107594	35937.113155947336	108032.582765248	127865505418.55577	-17135194794.121052	-12850495885.999458	5224301017.051213	2296279201.1133285	8127629316.506326	5176868162.397908	28767563750.307594	-2478009886.3543324	-525042766.6717441	3882379151.363963	213453354.97185275	11671038938.930159	0
-778378.9256167818	58597.145516877295	-247564.2592516452	605873751844.3356	-233845040214.47842	-45610783171.63717	124726673854.01578	90255606331.26852	32950230934.26434	-74374667986.4124	12029365961.338737	-17574769614.027653	-9389548993.594032	-14506558924.146591	25676542552.519997	61288062458.8158	1
-784525.0526960484	55487.3298067117	-254405.02643978145	615479558307.7375	-239172009558.9817	-43531200340.57351	125664882467.56541	92940942366.57037	32479829624.65488	-77558468281.42328	11350641661.086239	-17065433283.246536	-8887936407.68661	-14116255606.549362	25657493368.27082	64721917477.8259	1
911551.2617275584	-515747.0563834912	-291678.8468084438	830925702757.1038	-167231284372.55426	-470129879978.6456	344276953929.2837	33656802744.335396	-47889379366.14181	53510790038.99192	68140538288.65958	98589266449.74718	-194788634523.08118	150432506650.78613	142644066266.7452	85076549675.50362	1
-557498.8713782891	64771.04416386941	105267.12160077984	310804991588.0661	-123297989230.86366	-36109784019.35051	-1719529798.6721377	48912966521.860374	31678801733.202465	23281167176.91067	20516982522.477814	441796690.3294214	199777517.49619034	6818261382.207522	9513305.154507607	11081166890.113369	0
